gender,cgpa,attendance,internship,projects,communication,aptitude_score,coding_score,backlogs,extracurricular,placed
Male,9.79,91.39,Yes,3,Medium,98,65,2,No,0
Male,8.73,64.48,No,3,Medium,65,78,2,Yes,0
Female,8.27,75.24,No,5,High,58,82,3,Yes,1
Male,7.03,90.98,Yes,5,High,77,89,0,Yes,1
Female,5.71,76.69,No,2,Medium,59,88,3,Yes,0
Female,5.63,98.89,Yes,5,Low,84,62,0,Yes,0
Male,7.88,89.43,Yes,3,Low,91,55,1,Yes,1
Female,8.78,60.62,No,1,Medium,83,94,2,No,0
Female,7.81,95.2,Yes,1,Low,57,42,3,No,0
Female,9.12,64.03,Yes,3,High,87,69,1,No,1
Female,5.64,65.62,No,2,Medium,50,97,0,No,0
Male,7.08,89.38,No,1,Medium,97,52,0,No,0
Female,6.52,94.6,Yes,1,Medium,64,47,1,No,0
Female,7.42,81.45,Yes,2,High,82,63,0,Yes,1
Female,5.81,71.56,Yes,1,High,40,44,2,Yes,0
Male,9.6,74.05,Yes,4,High,71,46,0,Yes,1
Female,6.46,73.72,No,3,Medium,72,90,0,Yes,0
Male,9.47,73.07,Yes,1,Low,46,93,1,No,1
Male,7.33,69.72,Yes,1,Medium,70,90,0,Yes,1
Female,9.74,84.35,Yes,2,Medium,65,66,0,No,1
Female,7.88,96.02,Yes,1,High,46,51,1,Yes,1
Male,9.5,72.28,No,2,Medium,75,80,2,Yes,0
Female,5.52,67.47,Yes,3,Medium,85,94,1,No,1
Male,8.72,93.54,Yes,4,High,63,88,2,Yes,1
Male,9.38,89.67,No,5,Medium,44,95,2,No,0
Female,6.1,97.23,Yes,3,Medium,61,64,3,Yes,0
Female,5.91,66.62,Yes,1,Low,83,81,1,Yes,1
Male,7.33,65.77,Yes,4,Low,75,89,1,No,1
Male,9.51,81.66,Yes,5,High,42,72,1,No,1
Male,7.83,84.58,Yes,5,High,89,54,0,No,1
Male,7.77,79.21,Yes,1,Medium,95,70,2,Yes,0
Female,6.11,83.96,Yes,5,Medium,98,50,2,No,0
Female,5.5,67.22,No,5,Medium,76,75,2,Yes,0
Female,8.98,79.18,Yes,3,Medium,97,96,1,Yes,1
Female,5.88,86.32,No,3,Low,77,45,2,No,0
Female,8.23,77.31,No,5,High,85,98,2,Yes,1
Male,9.43,87.18,Yes,2,Medium,45,84,2,Yes,1
Female,6.4,78.05,Yes,1,Medium,91,99,2,Yes,0
Female,8.36,73.34,Yes,2,Low,64,65,3,No,0
Female,5.84,72.14,Yes,2,Medium,62,47,3,Yes,0
Female,8.1,76.44,No,5,Low,51,78,1,No,1
Female,6.2,60.92,Yes,1,Medium,67,76,3,Yes,0
Male,8.66,86.74,No,2,Medium,97,76,0,Yes,1
Male,6.8,93.8,No,3,Medium,83,87,3,No,0
Male,7.49,74.19,Yes,3,Low,79,69,0,Yes,0
Female,8.08,61.84,Yes,1,High,71,77,1,No,1
Male,6.24,99.47,Yes,2,Medium,94,55,0,Yes,0
Male,8.69,70.55,No,4,Medium,91,54,2,Yes,0
Female,6.8,65.06,No,4,Medium,64,77,0,Yes,0
Female,8.35,74.79,Yes,1,Medium,73,92,3,Yes,1
Female,6.18,89.54,Yes,1,Medium,69,47,0,Yes,0
Male,8.46,71.76,Yes,4,High,76,74,2,No,1
Male,6.05,82.99,No,2,High,57,48,2,Yes,0
Female,7.33,76.62,No,2,Medium,95,60,2,No,0
Female,6.56,64.71,Yes,5,Medium,96,80,3,Yes,0
Male,8.72,73.21,Yes,1,Low,74,44,1,Yes,1
Male,6.63,88.99,Yes,2,Low,87,58,0,Yes,0
Female,9.29,84.48,Yes,4,Medium,76,96,1,Yes,1
Female,9.33,64.79,No,4,High,80,87,1,Yes,1
Male,6.34,66.53,Yes,3,Medium,45,55,2,Yes,0
Female,8.14,85.63,No,2,Medium,58,57,0,Yes,0
Male,5.88,92.54,Yes,5,Low,61,51,1,No,0
Male,7.18,73.98,Yes,5,Medium,96,55,3,Yes,0
Male,8.57,83.81,Yes,1,Medium,71,44,3,Yes,0
Male,8.34,66.83,No,3,High,66,42,3,Yes,0
Female,8.19,72.46,No,4,Low,98,46,3,Yes,0
Female,6.71,60.81,Yes,4,Medium,55,91,3,Yes,0
Male,7.13,90.73,Yes,1,High,65,71,2,Yes,0
Male,5.94,76.04,Yes,5,High,78,70,1,No,1
Male,8.59,92.65,Yes,5,High,43,53,0,Yes,1
Male,7.67,88.33,No,4,Medium,55,63,2,No,0
Male,8.55,93.15,Yes,1,High,91,87,1,No,1
Female,6.57,71.43,Yes,2,High,88,72,3,Yes,0
Female,6.9,67.4,No,3,High,58,44,0,Yes,0
Female,6.94,98.88,Yes,5,High,67,47,3,No,0
Female,5.61,88.69,Yes,5,High,96,41,3,Yes,0
Male,6.97,93.36,Yes,5,Low,56,93,0,Yes,1
Male,8.95,60.53,No,2,Low,84,78,1,No,1
Male,9.36,74.18,Yes,2,Medium,41,77,0,No,1
Male,7.73,89.71,Yes,3,Medium,41,81,2,Yes,1
Male,7.46,63.12,No,5,Medium,63,74,3,Yes,0
Female,5.63,82.69,Yes,4,Medium,93,77,2,Yes,0
Male,9.28,77.16,No,5,Low,94,94,2,No,0
Female,5.56,60.7,No,3,Low,66,90,2,Yes,0
Female,9.56,69.44,No,3,Medium,43,99,3,Yes,0
Female,7.6,71.39,No,4,Low,87,97,3,Yes,0
Female,6.97,64.47,Yes,2,High,98,73,1,Yes,1
Male,9.47,85.26,Yes,4,High,75,90,1,No,1
Female,5.6,69.7,No,3,Medium,59,99,0,No,0
Female,8.0,71.1,Yes,4,Medium,51,69,0,No,1
Female,7.86,95.93,Yes,5,Low,93,88,3,Yes,1
Male,6.44,78.68,No,3,Medium,67,62,0,Yes,0
Male,7.34,75.69,Yes,2,High,99,43,2,Yes,0
Male,8.3,88.95,Yes,2,Medium,68,74,1,Yes,1
Female,8.63,96.38,No,4,Low,91,53,3,No,0
Female,5.5,61.0,No,4,High,85,61,1,Yes,0
Male,9.53,77.93,No,4,High,72,69,0,Yes,1
Female,6.21,84.43,No,5,Low,88,42,1,Yes,0
Male,6.5,72.74,No,2,Low,95,99,1,Yes,0
Male,6.63,90.9,No,3,Medium,57,50,0,Yes,0
Female,5.66,98.86,Yes,3,Low,51,49,1,Yes,0
Female,6.03,97.74,No,2,High,96,42,3,Yes,0
Female,9.74,70.64,Yes,4,High,49,80,2,Yes,1
Female,6.86,69.05,Yes,1,Medium,63,87,1,Yes,1
Male,6.0,98.3,Yes,4,High,86,89,3,Yes,1
Male,5.96,78.35,Yes,2,Medium,56,44,2,No,0
Male,8.59,68.33,Yes,5,Medium,97,97,3,Yes,1
Male,9.17,88.28,Yes,4,Medium,82,54,3,No,0
Male,6.6,71.38,Yes,3,High,71,97,2,Yes,1
Female,5.59,70.69,Yes,5,High,95,87,0,No,1
Male,6.46,95.17,Yes,2,Low,64,89,3,Yes,0
Male,5.74,66.5,No,1,Medium,91,45,0,No,0
Male,5.94,62.58,No,4,Medium,46,43,0,Yes,0
Female,7.36,70.77,No,5,High,59,62,1,Yes,0
Female,6.49,84.28,Yes,5,Medium,68,84,0,Yes,1
Female,7.72,64.92,No,3,Medium,58,40,3,No,0
Female,6.59,78.86,Yes,4,High,50,95,3,Yes,1
Male,9.54,85.09,Yes,1,Medium,72,73,2,No,0
Male,9.4,93.95,No,5,Low,89,54,0,No,0
Female,7.94,69.19,No,3,High,94,43,2,No,0
Female,7.02,92.69,No,4,Low,93,66,3,Yes,0
Male,7.14,69.4,No,4,Low,54,52,2,Yes,0
Male,7.27,87.07,Yes,1,Low,70,94,1,No,1
Female,8.63,77.23,No,3,Low,52,85,2,No,0
Female,7.44,64.59,No,1,Medium,95,86,1,No,0
Female,9.18,88.57,No,5,Medium,98,79,1,No,1
Female,9.56,68.71,No,2,Medium,87,71,0,No,0
Male,6.94,67.06,Yes,2,Low,58,48,3,Yes,0
Male,7.91,74.33,Yes,1,Low,45,76,1,Yes,1
Male,5.91,86.13,Yes,1,Medium,67,64,3,No,0
Female,6.36,69.36,Yes,2,Medium,61,96,2,Yes,0
Female,7.28,67.35,Yes,5,Medium,67,42,2,Yes,0
Male,6.39,60.4,Yes,1,Low,55,78,2,Yes,0
Male,9.27,78.87,No,5,Low,89,79,2,No,0
Male,6.18,77.15,No,5,Low,72,55,2,Yes,0
Male,7.46,69.35,No,3,Low,89,56,0,Yes,0
Female,8.1,62.15,Yes,5,High,80,66,0,Yes,1
Male,8.48,77.17,Yes,4,Medium,84,49,1,Yes,1
Male,7.15,91.53,No,2,Low,87,92,3,Yes,0
Male,9.24,88.61,Yes,2,Medium,93,40,2,No,0
Male,7.94,94.43,No,1,Medium,90,90,3,Yes,0
Male,7.39,60.38,No,1,Medium,65,89,2,Yes,0
Male,5.79,98.66,Yes,3,Low,62,68,1,Yes,0
Male,7.5,73.66,No,3,High,40,57,0,Yes,0
Female,9.03,99.62,Yes,4,Medium,68,91,1,Yes,1
Female,8.14,70.1,No,1,Medium,47,71,3,Yes,0
Female,9.08,78.86,Yes,2,Medium,81,76,3,No,1
Female,7.62,74.16,Yes,4,Low,78,82,2,No,1
Male,6.01,74.23,No,1,High,42,72,0,Yes,0
Female,5.56,93.69,No,4,Medium,52,98,3,No,0
Female,6.8,89.86,No,5,Low,59,61,1,Yes,0
Male,8.5,99.69,Yes,5,Medium,82,82,1,Yes,1
Male,8.9,84.54,No,4,High,94,50,2,No,0
Female,6.77,78.53,No,1,Medium,91,76,2,Yes,0
Female,7.63,63.6,No,5,Medium,44,68,0,Yes,0
Male,7.31,99.86,No,5,Medium,84,59,2,Yes,0
Female,7.27,82.06,No,4,Low,51,61,1,No,0
Male,6.49,88.02,No,5,Medium,87,71,2,No,0
Male,6.09,76.27,Yes,2,Medium,56,89,1,No,1
Male,6.35,81.91,Yes,5,High,53,47,3,Yes,0
Male,5.74,97.7,Yes,4,Medium,92,61,2,Yes,0
Female,6.35,66.66,No,5,Medium,65,54,0,No,0
Male,5.54,71.69,No,5,High,69,74,0,No,0
Male,8.2,66.08,No,3,High,81,55,0,No,1
Female,6.86,91.69,Yes,4,Medium,84,91,2,Yes,0
Male,9.68,62.48,Yes,4,Low,71,83,3,Yes,1
Female,6.33,63.27,Yes,3,High,69,68,3,No,0
Female,6.99,71.94,Yes,3,Low,51,73,0,Yes,0
Female,7.04,80.57,Yes,2,Low,75,59,3,Yes,0
Male,5.54,76.25,No,5,Medium,58,96,1,No,0
Female,9.11,61.79,Yes,1,Medium,83,91,2,Yes,1
Female,5.64,98.3,Yes,1,High,64,52,3,Yes,0
Male,9.54,98.11,Yes,3,Medium,72,95,3,Yes,1
Female,9.34,71.17,No,4,Low,81,90,3,Yes,0
Female,7.8,89.26,No,4,Medium,60,52,0,Yes,0
Female,7.84,83.14,Yes,2,Medium,97,70,2,Yes,0
Female,8.31,69.5,No,1,High,41,60,3,Yes,0
Female,7.16,70.49,Yes,4,Medium,76,89,2,Yes,0
Male,8.28,79.65,Yes,2,Low,60,69,3,No,0
Female,5.69,76.77,Yes,2,Medium,65,96,1,Yes,1
Female,5.73,71.65,Yes,3,Low,71,87,2,Yes,0
Male,7.47,92.3,No,1,Low,66,64,2,Yes,0
Male,7.86,79.26,No,2,High,56,69,2,Yes,0
Male,9.32,86.19,No,2,Medium,43,49,1,Yes,0
Female,5.95,67.57,Yes,2,Medium,78,46,0,Yes,0
Male,9.04,81.34,Yes,1,Medium,54,73,3,Yes,0
Female,6.4,72.72,Yes,3,Medium,72,43,0,Yes,0
Female,7.19,81.06,Yes,5,Low,99,61,2,No,0
Male,6.86,91.23,Yes,4,Low,53,96,0,Yes,1
Male,7.22,90.76,Yes,1,Low,65,68,2,Yes,0
Female,6.15,74.17,No,1,High,86,93,3,Yes,0
Male,7.67,87.77,No,1,High,41,43,0,Yes,1
Female,8.95,97.65,Yes,5,Medium,59,40,3,No,0
Male,7.4,85.03,Yes,4,Low,65,87,3,Yes,0
Male,7.61,65.94,Yes,4,Low,41,62,0,Yes,1
Male,9.15,87.19,Yes,2,High,87,62,1,Yes,1
Female,8.54,64.2,Yes,2,High,41,45,1,Yes,1
Male,7.61,94.88,Yes,3,Low,87,90,1,Yes,1
Female,6.61,80.67,No,1,High,56,44,0,Yes,0
Female,9.31,75.41,No,3,Medium,57,62,0,Yes,0
Female,7.98,62.28,Yes,1,Low,90,77,0,Yes,1
Female,6.45,75.23,No,4,Low,87,46,0,No,0
Male,6.66,96.13,Yes,3,High,43,44,1,Yes,1
Female,8.95,60.84,No,4,Medium,56,99,1,Yes,1
Female,5.69,78.99,Yes,2,High,72,72,0,Yes,1
Male,9.77,97.25,Yes,4,Low,62,65,3,Yes,0
Female,6.06,75.79,Yes,5,Medium,92,98,3,Yes,0
Male,8.92,77.13,Yes,3,Low,52,60,3,Yes,0
Female,7.2,83.14,Yes,1,Low,46,73,0,Yes,0
Male,7.62,78.52,No,4,Low,97,65,1,Yes,0
Female,9.29,66.74,No,3,High,80,49,0,Yes,1
Male,7.28,60.74,Yes,1,Medium,85,41,2,Yes,0
Female,7.81,84.39,Yes,3,Low,40,59,1,Yes,1
Female,5.71,96.83,No,3,Medium,79,53,1,No,0
Male,5.51,64.25,No,5,High,81,93,3,Yes,0
Male,6.55,68.44,No,4,Low,70,92,3,Yes,0
Male,8.43,74.81,Yes,5,High,75,46,3,Yes,1
Male,6.02,92.35,No,2,High,64,49,0,Yes,0
Female,5.99,70.77,No,3,Medium,84,70,2,Yes,0
Female,7.27,95.28,Yes,4,Medium,89,47,3,Yes,0
Male,8.29,62.2,Yes,2,Medium,80,97,0,No,1
Female,8.56,97.64,No,2,Low,79,40,2,Yes,0
Male,6.27,82.43,No,5,Medium,69,68,0,Yes,0
Male,5.84,86.35,Yes,2,Low,77,70,1,Yes,0
Female,9.54,74.71,No,1,High,60,47,1,No,1
Female,6.62,91.28,Yes,1,High,58,55,2,No,0
Female,9.17,66.66,Yes,1,Low,55,85,3,Yes,1
Female,9.21,61.96,Yes,2,Medium,72,58,2,Yes,0
Female,8.82,75.82,No,3,Medium,86,65,0,Yes,0
Female,6.23,94.15,Yes,4,High,45,99,1,Yes,1
Female,9.03,90.2,Yes,1,Medium,81,49,3,Yes,0
Male,8.81,80.69,Yes,1,Medium,76,57,0,Yes,1
Male,8.07,82.89,Yes,1,Low,47,41,0,Yes,1
Male,6.95,65.2,No,5,Medium,40,76,1,Yes,0
Male,6.63,93.63,Yes,5,Low,52,68,3,Yes,0
Male,6.02,91.48,No,1,Low,65,41,2,Yes,0
Female,7.69,86.26,No,1,Medium,55,91,1,No,1
Male,8.02,78.65,Yes,5,Medium,88,42,1,Yes,1
Male,7.05,98.58,No,4,High,78,63,3,Yes,0
Male,7.54,95.16,Yes,3,Medium,86,48,2,Yes,0
Male,7.06,85.78,Yes,4,Medium,95,82,1,Yes,1
Male,8.26,74.87,No,3,High,85,87,2,No,1
Male,9.38,84.72,No,2,High,97,99,1,No,1
Male,6.2,83.02,Yes,2,Medium,67,53,2,Yes,0
Female,7.14,75.77,Yes,4,Medium,88,85,2,No,0
Female,6.11,72.27,No,5,High,96,93,0,No,1
Male,8.19,76.28,No,1,Medium,62,91,1,No,1
Female,8.63,82.96,Yes,2,High,46,82,0,Yes,1
Female,9.51,77.13,Yes,5,Low,63,50,1,Yes,1
Female,6.7,70.54,Yes,5,High,85,89,0,No,1
Female,9.59,90.44,Yes,3,Low,47,82,0,No,1
Male,5.77,81.26,Yes,2,Low,84,63,0,Yes,0
Female,8.09,62.71,Yes,4,High,40,53,0,No,1
Female,5.75,74.73,Yes,5,Medium,43,90,0,Yes,1
Female,9.34,95.4,No,4,Medium,82,57,1,Yes,0
Male,7.78,90.21,Yes,4,Medium,80,75,3,Yes,0
Male,8.38,72.93,Yes,2,Low,58,52,0,No,1
Male,9.08,97.53,Yes,4,Low,61,73,3,Yes,0
Male,6.15,63.06,Yes,4,Medium,75,58,0,No,0
Male,5.67,98.45,Yes,1,Low,40,80,1,No,1
Male,9.28,69.83,No,4,Medium,58,94,2,No,0
Male,6.85,60.36,Yes,1,High,90,50,3,Yes,0
Female,6.05,77.35,Yes,2,Low,68,88,3,Yes,0
Female,7.51,74.36,Yes,4,Low,58,65,1,No,1
Female,8.07,81.56,Yes,5,High,82,44,2,Yes,1
Male,5.63,91.87,Yes,4,High,45,60,3,Yes,0
Male,6.68,93.7,Yes,1,Low,64,48,1,No,0
Male,5.64,76.05,Yes,5,Low,78,87,0,No,1
Male,7.31,77.19,No,2,Medium,62,51,3,Yes,0
Male,9.35,65.93,No,3,Medium,40,40,2,Yes,0
Female,9.73,61.9,Yes,3,High,54,88,3,No,1
Female,8.24,85.65,No,1,Medium,64,53,0,Yes,0
Male,6.2,62.58,No,2,High,43,65,2,No,0
Male,9.4,89.35,No,2,Medium,84,46,0,Yes,0
Male,7.72,81.56,Yes,4,Low,95,94,2,No,1
Male,6.16,67.94,No,3,Medium,83,98,0,No,0
Female,9.46,81.58,No,4,Medium,40,55,2,Yes,0
Male,8.76,67.32,Yes,2,Low,79,54,2,Yes,0
Male,8.65,77.55,Yes,1,Low,96,95,0,Yes,1
Male,8.55,91.98,No,1,Low,60,43,3,Yes,0
Male,6.36,78.48,No,5,Medium,94,69,1,Yes,0
Female,6.41,65.95,Yes,1,Medium,82,62,3,No,0
Male,8.46,88.95,No,3,Low,49,61,1,Yes,0
Male,6.44,67.47,Yes,5,Medium,41,54,0,Yes,0
Female,7.39,89.54,Yes,3,Medium,56,56,3,Yes,0
Female,8.86,79.17,Yes,4,High,99,41,0,No,1
Female,8.87,78.15,Yes,4,High,52,47,1,No,1
Male,7.45,94.06,No,1,High,66,45,2,No,0
Male,8.91,88.34,Yes,5,High,93,78,0,No,1
Female,9.11,61.32,No,3,Medium,80,95,3,No,0
Female,8.32,71.85,Yes,3,Medium,87,67,0,Yes,1
Female,6.48,94.84,Yes,2,Low,67,87,0,No,1
Female,6.68,60.73,Yes,1,Medium,88,44,0,No,0
Female,6.85,81.81,Yes,4,Low,49,60,1,No,0
Female,6.0,89.11,No,2,Medium,88,89,3,Yes,0
Male,6.67,84.87,Yes,4,Low,91,59,3,No,0
Male,6.4,90.42,No,4,Low,49,82,1,Yes,0
Male,7.46,89.03,Yes,3,Low,93,73,3,No,0
Female,9.41,87.68,Yes,4,High,85,46,3,Yes,1
Female,5.95,92.86,Yes,5,Low,86,69,0,Yes,0
Female,8.6,85.83,No,4,High,48,69,1,No,1
Female,8.46,76.1,Yes,5,Low,73,54,1,Yes,1
Female,5.91,78.88,No,4,Medium,85,66,1,No,0
Female,9.47,88.67,No,2,Medium,92,48,2,Yes,0
Male,7.94,95.05,Yes,3,Medium,78,66,3,No,0
Male,7.06,70.89,Yes,2,High,99,41,0,Yes,1
Female,8.75,73.68,Yes,3,Low,43,75,0,No,1
Male,6.61,97.23,No,2,Low,84,66,0,Yes,0
Female,8.48,83.14,Yes,1,Medium,93,86,0,Yes,1
Male,5.67,67.16,Yes,4,High,93,79,3,Yes,1
Female,9.11,86.55,Yes,4,High,43,64,1,Yes,1
Female,7.43,99.63,No,1,High,43,75,1,No,0
Male,8.24,92.94,No,1,Medium,80,79,2,Yes,0
Male,6.45,89.83,No,5,Medium,50,46,0,No,0
Female,8.41,68.32,No,2,Medium,40,52,2,Yes,0
Female,8.82,95.05,Yes,4,Medium,84,76,3,No,1
Male,7.53,81.03,Yes,5,Low,60,59,2,Yes,0
Male,8.16,95.57,No,4,Medium,98,93,3,Yes,0
Female,7.46,73.19,No,1,Low,64,61,2,Yes,0
Male,9.34,62.48,Yes,5,Medium,48,57,3,No,0
Female,7.64,79.04,Yes,5,Low,64,90,3,Yes,1
Female,9.12,70.79,No,5,Medium,57,50,2,Yes,0
Female,8.95,88.61,Yes,2,Medium,46,45,1,Yes,1
Female,7.27,98.28,Yes,5,Low,85,43,2,No,0
Male,6.49,87.64,No,4,Low,65,42,1,No,0
Male,7.25,95.48,No,2,Low,95,91,1,No,0
Male,9.05,78.12,Yes,4,Low,88,45,2,Yes,0
Male,6.48,90.87,Yes,5,Low,57,54,0,No,0
Male,7.76,93.72,Yes,5,High,40,42,1,Yes,1
Male,8.97,88.44,No,4,Medium,48,56,0,No,0
Male,7.02,80.31,No,3,Medium,49,69,3,Yes,0
Female,8.26,85.03,No,5,Medium,87,61,3,Yes,0
Male,6.56,88.02,Yes,5,High,50,41,3,Yes,0
Male,5.97,70.12,Yes,2,Low,71,96,1,Yes,1
Female,8.92,92.38,No,4,High,60,55,1,Yes,1
Male,5.93,98.01,Yes,5,High,75,61,3,Yes,0
Male,6.67,78.61,No,4,Low,95,88,2,Yes,0
Female,9.18,88.04,No,2,Medium,71,50,2,Yes,0
Male,6.99,89.48,Yes,4,Low,58,75,3,Yes,0
Male,9.68,86.49,No,4,Low,47,92,0,Yes,1
Male,9.71,81.88,Yes,2,Low,74,51,3,No,0
Female,6.65,95.27,No,5,High,61,79,1,No,1
Male,5.68,77.96,Yes,4,Medium,43,74,0,Yes,0
Male,8.53,62.44,No,3,Medium,68,82,2,Yes,0
Female,7.44,93.78,No,5,Medium,70,84,2,Yes,0
Male,5.93,86.96,Yes,2,Medium,47,96,0,Yes,1
Female,8.54,93.97,Yes,1,Medium,94,80,0,No,1
Female,5.63,65.54,Yes,3,High,51,54,1,Yes,1
Male,9.24,61.23,Yes,5,Medium,44,83,3,No,1
Female,6.1,97.37,No,2,Medium,69,81,0,Yes,0
Female,6.05,65.91,Yes,3,Medium,74,98,0,Yes,1
Male,6.26,92.39,Yes,5,High,76,60,2,Yes,0
Female,9.63,92.93,Yes,1,High,43,43,2,Yes,1
Female,8.48,88.35,Yes,5,Low,95,46,3,Yes,0
Male,8.95,65.25,No,1,Medium,82,68,0,Yes,0
Male,7.21,86.7,Yes,1,Low,60,80,2,Yes,0
Male,6.95,95.56,No,4,High,97,45,3,No,0
Female,6.51,77.02,No,2,Medium,97,78,2,Yes,0
Male,7.57,76.54,Yes,4,Low,55,56,2,Yes,0
Female,7.87,77.71,No,1,Medium,92,75,2,Yes,0
Female,8.22,63.29,Yes,2,Medium,57,41,1,Yes,1
Female,6.61,95.68,Yes,2,Medium,96,56,1,Yes,0
Female,9.58,94.77,Yes,2,Low,70,68,0,Yes,1
Female,6.23,99.92,Yes,3,Low,77,66,3,No,0
Female,9.65,83.41,No,5,Low,98,46,3,Yes,0
Female,5.56,90.05,Yes,1,Low,71,50,1,Yes,0
Male,7.57,68.11,Yes,2,Medium,87,65,3,Yes,0
Male,6.93,86.7,Yes,3,High,72,91,0,Yes,1
Female,7.43,85.99,Yes,3,Low,58,89,3,Yes,0
Female,7.95,96.05,No,1,Low,59,92,3,Yes,0
Male,7.37,93.23,Yes,4,High,87,78,1,No,1
Female,7.28,97.54,No,3,High,49,71,1,No,0
Male,8.65,94.75,No,1,Medium,65,89,3,Yes,0
Male,8.45,94.75,Yes,3,Low,85,62,3,Yes,0
Male,9.08,62.55,No,1,High,57,90,0,Yes,1
Female,6.57,93.84,Yes,2,Low,84,85,0,Yes,1
Female,8.12,84.3,Yes,4,High,98,79,0,Yes,1
Male,8.02,75.22,Yes,3,High,84,46,2,Yes,1
Male,7.09,62.26,Yes,3,Medium,97,40,2,Yes,0
Male,7.59,87.11,No,3,Low,54,64,2,Yes,0
Male,6.85,73.13,Yes,5,Low,75,70,3,Yes,0
Male,6.11,78.71,No,5,High,57,45,0,Yes,0
Female,6.42,87.27,Yes,2,High,70,67,2,No,0
Male,5.95,96.47,No,3,Medium,54,70,1,Yes,0
Female,8.44,93.02,Yes,4,Low,77,75,1,Yes,1
Male,8.34,78.02,No,5,Medium,68,55,3,Yes,0
Female,9.59,75.51,Yes,1,High,81,54,1,Yes,1
Female,8.64,69.59,No,1,High,54,61,3,Yes,0
Female,5.72,74.9,No,1,Low,96,57,1,No,0
Female,9.3,64.44,No,2,Medium,40,89,2,Yes,0
Female,9.21,98.84,Yes,3,Low,76,47,2,No,0
Female,7.41,82.96,Yes,3,High,80,49,3,No,0
Male,8.02,65.11,No,5,Medium,98,76,3,Yes,0
Female,9.7,74.11,Yes,1,High,62,78,1,Yes,1
Male,7.79,81.88,Yes,2,Low,85,88,0,Yes,1
Female,9.39,81.32,Yes,4,Low,50,45,1,Yes,1
Female,5.86,61.42,Yes,3,Medium,77,82,1,No,1
Male,6.32,98.03,Yes,3,High,55,98,3,No,1
Female,7.4,71.02,Yes,2,Low,94,49,0,Yes,0
Male,8.01,60.65,Yes,5,Medium,69,78,0,Yes,1
Male,9.01,63.06,Yes,2,Medium,68,97,3,Yes,1
Male,9.75,83.21,Yes,5,High,80,46,2,Yes,1
Male,7.17,65.51,Yes,3,Medium,42,81,3,No,0
Female,5.7,61.67,No,5,Low,79,84,3,Yes,0
Female,8.95,75.19,Yes,5,Medium,56,74,3,Yes,0
Male,8.1,84.91,No,5,High,65,67,0,Yes,1
Female,6.35,64.47,Yes,5,High,93,64,3,Yes,0
Female,7.63,72.53,Yes,1,Medium,48,67,0,Yes,1
Male,8.69,76.71,Yes,1,High,56,48,3,Yes,1
Female,8.81,66.38,Yes,1,Low,76,44,2,Yes,0
Male,7.65,80.24,No,1,Medium,95,96,2,Yes,0
Male,6.81,63.41,Yes,2,High,70,55,1,Yes,1
Female,9.69,61.86,No,4,Low,97,68,1,Yes,0
Female,8.35,80.79,No,5,High,70,82,0,Yes,1
Female,7.26,69.92,Yes,2,Medium,50,94,2,Yes,0
Male,6.71,63.81,Yes,1,Medium,77,62,0,Yes,0
Male,8.64,76.96,Yes,5,Low,61,96,3,No,1
Female,6.54,96.61,No,4,Low,85,57,3,Yes,0
Female,6.24,88.97,No,5,Medium,42,65,0,Yes,0
Female,7.78,92.62,No,3,Medium,95,86,1,No,1
Female,6.75,94.88,Yes,3,Low,88,44,0,Yes,0
Male,8.2,98.91,No,2,High,67,47,0,Yes,1
Female,6.01,90.53,No,4,Low,71,79,1,No,0
Male,8.32,84.34,Yes,2,High,43,58,3,No,1
Male,6.72,74.62,Yes,5,Low,79,76,1,Yes,1
Female,5.5,67.27,Yes,4,Medium,77,67,2,Yes,0
Female,6.05,87.47,Yes,2,Medium,50,43,1,Yes,0
Female,9.51,99.8,No,5,Medium,96,59,2,Yes,0
Male,9.23,78.69,Yes,1,High,40,89,2,Yes,1
Female,6.5,88.95,Yes,5,High,86,61,1,Yes,1
Female,8.85,79.8,Yes,2,Medium,55,51,1,Yes,1
Male,8.12,77.28,Yes,4,Medium,73,40,1,Yes,1
Female,9.67,76.41,Yes,4,Medium,84,47,0,Yes,1
Male,7.11,80.18,No,1,High,71,99,1,No,1
Female,8.43,74.68,Yes,2,High,83,97,2,No,1
Male,5.77,89.95,Yes,1,Medium,85,80,2,Yes,0
Female,7.2,94.97,No,3,Medium,72,66,2,No,0
Female,9.64,95.32,Yes,5,Low,50,60,1,Yes,1
Male,7.82,69.11,Yes,3,High,75,84,3,Yes,1
Male,6.74,95.84,Yes,3,High,52,93,3,Yes,1
Female,6.02,73.66,Yes,1,High,96,72,2,No,0
Male,8.53,72.37,Yes,1,Medium,59,77,2,Yes,1
Male,8.27,89.07,Yes,5,Medium,64,72,0,Yes,1
Male,7.11,72.19,Yes,1,Medium,45,85,1,Yes,1
Male,9.59,62.12,No,1,Medium,76,76,1,Yes,1
Female,5.6,74.94,Yes,1,Medium,65,84,2,Yes,0
Female,6.81,88.86,No,1,High,43,96,0,Yes,1
Male,9.46,73.08,Yes,1,Low,84,44,2,Yes,0
Male,6.88,85.18,Yes,3,Low,65,54,0,Yes,0
Male,6.58,86.4,No,3,High,57,69,2,Yes,0
Male,7.8,89.35,Yes,5,High,52,42,2,No,1
Female,9.04,95.89,Yes,4,Medium,47,67,1,Yes,1
Female,5.94,77.3,Yes,5,High,90,69,0,Yes,1
